epoch,acc,loss
0,0.47642568479111014,1.6454441263689608
1,0.690625,1.0514002646718705
2,0.7606142723786475,0.8065646157516697
3,0.8001796136161485,0.6957739543957618
4,0.8473214285714286,0.5757082038692065
5,0.8527551945147476,0.544886507450619
6,0.8652896271674795,0.46455690522979715
7,0.8872923213749334,0.40188331753483897
8,0.8778625956071991,0.4267448054389885
9,0.9070498427040757,0.3371376598368432
10,0.9286035024696901,0.29126156899337013
11,0.9250112260517434,0.29150283510608954
12,0.9241131569004187,0.2828984852055557
13,0.9357880557338165,0.2584457006832383
14,0.9321957790749887,0.25519464231549116
15,0.9506061966771442,0.1889937340905434
16,0.9528513696089849,0.19019790770603928
17,0.9510552312528064,0.19495427166874976
18,0.9488100585618466,0.17750515970457922
19,0.9528513697428076,0.19093301611252841
20,0.9669642857142857,0.1462893999580826
21,0.9667714415883397,0.1325637947752918
22,0.9512195122489654,0.17678891121668114
23,0.9602678571428571,0.15676272846758366
24,0.9701897020854708,0.1268249286394213
25,0.9748540639502615,0.11103708769743037
26,0.9824876515491693,0.09362900083141044
27,0.9779973057925461,0.09733088755479136
28,0.9699146834306241,0.1252528615530077
29,0.9732142857142857,0.11597625698362078
30,0.9797934440951953,0.08740664118935187
31,0.9784463405555601,0.09045502678944918
32,0.9775482712168837,0.09865760664047016
33,0.9747064139192558,0.1002395625487845
34,0.9824876517900502,0.07683390079189106
35,0.9870535714285714,0.06909631517316614
36,0.9815895825851965,0.0805942359416807
37,0.9828364954085208,0.06681120163460734
38,0.9870535714285714,0.063075116888753
39,0.9814814818583852,0.08811809024298202
40,0.9829366861248316,0.07031545180661773
41,0.9830357142857142,0.08326620116297688
42,0.9865289627301302,0.0683319434309466
43,0.9883251010327795,0.0575194025841271
44,0.990063233965673,0.052327513523978644
45,0.9866071428571429,0.05990295168012381
46,0.9909665765208819,0.04858888514245698
47,0.9870535714285714,0.06531495491841009
48,0.9941625505163898,0.04086458382247326
49,0.9937135159407274,0.039505122977191415
50,0.9860799283418197,0.06298002530412927
51,0.9901212393354288,0.05242833452818637
52,0.9901212393354288,0.05485659013709307
53,0.9896722047597665,0.04800452046902607
54,0.9878760664571172,0.05573734436660911
55,0.9905702739110912,0.0553785283478135
56,0.9937135159407274,0.03812702776229349
57,0.990570274098443,0.051975212880833885
58,0.9941625505163898,0.032852858395307764
59,0.9955096542433768,0.03012237138627996
60,0.9901212392016061,0.05117636565729594
61,0.9964077233947014,0.032169771523327374
62,0.9955096544307286,0.02931496271462948
63,0.9950606196677144,0.03298711464759155
64,0.9968567579703638,0.03476074990596025
65,0.9937135159407274,0.03993444816181357
66,0.995958688819039,0.031128243093646906
67,0.9937135159407274,0.035312307029159606
68,0.9964077233947014,0.028942149495484317
69,0.9959586890063908,0.031197749623601407
